id,title,artist,rights,genre,Department,tags,notes
35155,"Guidobaldo II della Rovere, Duke of Urbino (1514–1574), With his  Armor by Filippo Negroli",Unknown,CC0-1.0,Paintings,Arms and Armor,,"Painting; Italian; Unknown; Oil on copper; 5 1/2 x 4 in. (14 x 10.2 cm); frame: 7 1/8 x 4 7/8 in. (18.1 x 12.5 cm); ca. 1580–85; Arms and Armor; Guidobaldo II della Rovere, Duke of Urbino (1514–1574), With his  Armor by Filippo Negroli is a Unknown Painting by the Italian artist.This piece, part of the Arms and Armor collection, is crafted using Oil on copper. Measuring 5 1/2 x 4 in. (14 x 10.2 cm); frame: 7 1/8 x 4 7/8 in. (18.1 x 12.5 cm), the work is classified as Paintings and was created in ca. 1580–85."
35968,清  佚名  台南地區荷蘭城堡|Forts Zeelandia and Provintia and the City of Tainan,Unidentified artist,CC0-1.0,Paintings,Asian Art,,"Pictorial map; China; Unknown; Wall hanging; ink and color on deerskin; Image: 59 1/4 × 80 3/4 in. (150.5 × 205.1 cm)
Overall with decorative borders: 68 5/8 × 90 1/4 in. (174.3 × 229.2 cm); 19th century; Asian Art; 清  佚名  台南地區荷蘭城堡|Forts Zeelandia and Provintia and the City of Tainan is a Unknown Pictorial map by the China artist Unidentified artist. This piece, part of the Asian Art collection, is crafted using Wall hanging; ink and color on deerskin. Measuring Image: 59 1/4 × 80 3/4 in. (150.5 × 205.1 cm)
Overall with decorative borders: 68 5/8 × 90 1/4 in. (174.3 × 229.2 cm), the work is classified as Paintings and was created in 19th century."
35970,明   丁雲鵬   潯陽送客圖   軸|Song of the Lute,Ding Yunpeng,CC0-1.0,Paintings,Asian Art,,"Hanging scroll; China; late Ming dynasty (1368–1644); Hanging scroll; ink and color on paper; Image: 55 5/8 x 18 1/8 in. (141.3 x 46 cm); 1585; Asian Art; 明   丁雲鵬   潯陽送客圖   軸|Song of the Lute is a late Ming dynasty (1368–1644) Hanging scroll by the China artist Ding Yunpeng. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink and color on paper. Measuring Image: 55 5/8 x 18 1/8 in. (141.3 x 46 cm), the work is classified as Paintings and was created in 1585."
35971,清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng,Wang Hui|Unidentified artist,CC0-1.0,Paintings,Asian Art,,"Hanging scroll; China; Qing dynasty (1644–1911); Hanging scroll; ink on silk; 14 1/2 x 11 1/8 in. (36.8 x 28.3 cm); 18th century or later, spurious date of 1680; Asian Art; 清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng is a Qing dynasty (1644–1911) Hanging scroll by the China artist Wang Hui|Unidentified artist. This piece, part of the Asian Art collection, is crafted using Hanging scroll; ink on silk. Measuring 14 1/2 x 11 1/8 in. (36.8 x 28.3 cm), the work is classified as Paintings and was created in 18th century or later, spurious date of 1680."
35972,清   佚名   倣王翬   倣仇實父採菱圖   扇|Gathering Water Chestnuts,Wang Hui|Unidentified artist,CC0-1.0,Paintings,Asian Art,,"Folding fan mounted as an album leaf; China; Qing dynasty (1644–1911); Folding fan mounted as an album leaf; ink and color on paper; 6 3/4 x 20 in. (17.1 x 50.8 cm); 18th century or later, spurious date of 1706; Asian Art; 清   佚名   倣王翬   倣仇實父採菱圖   扇|Gathering Water Chestnuts is a Qing dynasty (1644–1911) Folding fan mounted as an album leaf by the China artist Wang Hui|Unidentified artist. This piece, part of the Asian Art collection, is crafted using Folding fan mounted as an album leaf; ink and color on paper. Measuring 6 3/4 x 20 in. (17.1 x 50.8 cm), the work is classified as Paintings and was created in 18th century or later, spurious date of 1706."
35973,清   佚名   倣王鑑   倣惠崇山水圖   扇|Landscape in the Style of Huichong,Wang Jian|Unidentified artist,CC0-1.0,Paintings,Asian Art,,"Folding fan mounted as an album leaf; China; Qing dynasty (1644–1911); Folding fan mounted as an album leaf; ink and color on paper; 6 3/8 x 20 1/2 in. (16.2 x 52.1 cm); 18th century or later, spurious date of 1676; Asian Art; 清   佚名   倣王鑑   倣惠崇山水圖   扇|Landscape in the Style of Huichong is a Qing dynasty (1644–1911) Folding fan mounted as an album leaf by the China artist Wang Jian|Unidentified artist. This piece, part of the Asian Art collection, is crafted using Folding fan mounted as an album leaf; ink and color on paper. Measuring 6 3/8 x 20 1/2 in. (16.2 x 52.1 cm), the work is classified as Paintings and was created in 18th century or later, spurious date of 1676."
35974,清   倣王時敏  山水  扇面|Landscape,Wang Shimin|Unidentified artist,CC0-1.0,Paintings,Asian Art,,"Folding fan mounted as an album leaf; China; Qing dynasty (1644–1911); Folding fan mounted as an album leaf; ink on gold paper; 6 1/2 x 20 1/2 in. (16.5 x 52.1 cm); 18th century or later, spurious date of 1648; Asian Art; 清   倣王時敏  山水  扇面|Landscape is a Qing dynasty (1644–1911) Folding fan mounted as an album leaf by the China artist Wang Shimin|Unidentified artist. This piece, part of the Asian Art collection, is crafted using Folding fan mounted as an album leaf; ink on gold paper. Measuring 6 1/2 x 20 1/2 in. (16.5 x 52.1 cm), the work is classified as Paintings and was created in 18th century or later, spurious date of 1648."
35975,清   佚名   倣王翬   臨燕文貴勘書圖   扇|Landscape in the Style of Yan Wengui,Wang Hui|Unidentified artist,CC0-1.0,Paintings,Asian Art,,"Folding fan mounted as an album leaf; China; Qing dynasty (1644–1911); Folding fan mounted as an album leaf; ink and color on paper; 6 1/2 x 19 1/4 in. (16.5 x 48.9 cm); 18th century or later, spurious date of 1707; Asian Art; 清   佚名   倣王翬   臨燕文貴勘書圖   扇|Landscape in the Style of Yan Wengui is a Qing dynasty (1644–1911) Folding fan mounted as an album leaf by the China artist Wang Hui|Unidentified artist. This piece, part of the Asian Art collection, is crafted using Folding fan mounted as an album leaf; ink and color on paper. Measuring 6 1/2 x 19 1/4 in. (16.5 x 48.9 cm), the work is classified as Paintings and was created in 18th century or later, spurious date of 1707."
35977,明（？）　陸克正　倣北苑山水　扇|Landscape in the manner of Dong Yuan,Dong Yuan|Lu Kezheng,CC0-1.0,Paintings,Asian Art,,"Folding fan mounted as an album leaf; China; Ming (1368–1644) or Qing (1644–1911) dynasty; Folding fan mounted as an album leaf; ink on gold paper; 6 1/2 x 20 in. (16.5 x 50.8 cm); 1591/1651; Asian Art; 明（？）　陸克正　倣北苑山水　扇|Landscape in the manner of Dong Yuan is a Ming (1368–1644) or Qing (1644–1911) dynasty Folding fan mounted as an album leaf by the China artist Dong Yuan|Lu Kezheng. This piece, part of the Asian Art collection, is crafted using Folding fan mounted as an album leaf; ink on gold paper. Measuring 6 1/2 x 20 in. (16.5 x 50.8 cm), the work is classified as Paintings and was created in 1591/1651."
35979,明/清　佚名　倣文徴明　山水　扇|Landscape,Wen Zhengming|Unidentified artist,CC0-1.0,Paintings,Asian Art,,"Folding fan mounted as an album leaf; China; Ming dynasty (1368–1644) or later; Folding fan mounted as an album leaf; ink and color on gold-flecked paper; 7 1/8 x 20 1/2 in. (18.1 x 52.1 cm); Unknown; Asian Art; 明/清　佚名　倣文徴明　山水　扇|Landscape is a Ming dynasty (1368–1644) or later Folding fan mounted as an album leaf by the China artist Wen Zhengming|Unidentified artist. This piece, part of the Asian Art collection, is crafted using Folding fan mounted as an album leaf; ink and color on gold-flecked paper. Measuring 7 1/8 x 20 1/2 in. (18.1 x 52.1 cm), the work is classified as Paintings ."
