id,title,artist,rights,genre,Department,tags,notes
435830,Catharine Lorillard Wolfe (1828–1887),Alexandre Cabanel,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 67 1/2 x 42 3/4 in. (171.5 x 108.6 cm); 1876; European Paintings; Catharine Lorillard Wolfe (1828–1887) is a Unknown Painting by the Unknown artist Alexandre Cabanel. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 67 1/2 x 42 3/4 in. (171.5 x 108.6 cm), the work is classified as Paintings and was created in 1876."
435760,The Man of Sorrows,Aelbert Bouts,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on oak; Arched top, 17 1/2 x 11 1/4 in. (44.5 x 28.6 cm); ca. 1525; European Paintings; The Man of Sorrows is a Unknown Painting by the Unknown artist Aelbert Bouts. This piece, part of the European Paintings collection, is crafted using Oil on oak. Measuring Arched top, 17 1/2 x 11 1/4 in. (44.5 x 28.6 cm), the work is classified as Paintings and was created in ca. 1525."
435641,Madonna and Child,Giovanni Bellini,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 35 x 28 in. (88.9 x 71.1 cm); late 1480s; European Paintings; Madonna and Child is a Unknown Painting by the Unknown artist Giovanni Bellini. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 35 x 28 in. (88.9 x 71.1 cm), the work is classified as Paintings and was created in late 1480s."
435581,Portrait of a Young Man,Antonello da Messina (Antonello di Giovanni d'Antonio),CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 10 5/8 x 8 1/8 in. (27 x 20.6 cm); ca. 1470; European Paintings; Portrait of a Young Man is a Unknown Painting by the Unknown artist Antonello da Messina (Antonello di Giovanni d'Antonio). This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 10 5/8 x 8 1/8 in. (27 x 20.6 cm), the work is classified as Paintings and was created in ca. 1470."
436691,"Richard Humphreys, the Boxer",John Hoppner,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 55 3/4 x 44 1/4 in. (141.6 x 112.4 cm); Unknown; European Paintings; Richard Humphreys, the Boxer is a Unknown Painting by the Unknown artist John Hoppner. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 55 3/4 x 44 1/4 in. (141.6 x 112.4 cm), the work is classified as Paintings ."
436658,Hermann von Wedigh III (died 1560),Hans Holbein the Younger,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil and gold on oak; 16 5/8 x 12 3/4 in. (42.2 x 32.4 cm), with added strip of 1/2 in. (1.3 cm) at bottom; 1532; European Paintings; Hermann von Wedigh III (died 1560) is a Unknown Painting by the Unknown artist Hans Holbein the Younger. This piece, part of the European Paintings collection, is crafted using Oil and gold on oak. Measuring 16 5/8 x 12 3/4 in. (42.2 x 32.4 cm), with added strip of 1/2 in. (1.3 cm) at bottom, the work is classified as Paintings and was created in 1532."
437972,The Crucifixion,Francisco de Zurbarán,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; Arched top, 112 x 75 7/8 in. (284.5 x 192.7 cm); Unknown; European Paintings; The Crucifixion is a Unknown Painting by the Unknown artist Francisco de Zurbarán. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring Arched top, 112 x 75 7/8 in. (284.5 x 192.7 cm), the work is classified as Paintings ."
438032,"Study for ""Portrait of an Indian""",Anne Louis Girodet-Trioson,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 16 x 12 7/8 in. (40.6 x 32.7 cm); ca. 1807; European Paintings; Study for ""Portrait of an Indian"" is a Unknown Painting by the Unknown artist Anne Louis Girodet-Trioson. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 16 x 12 7/8 in. (40.6 x 32.7 cm), the work is classified as Paintings and was created in ca. 1807."
438737,Faustine Léo (1832–1865),Henri Lehmann,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 39 3/8 in. × 32 in. (100 × 81.3 cm); 1842; European Paintings; Faustine Léo (1832–1865) is a Unknown Painting by the Unknown artist Henri Lehmann. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 39 3/8 in. × 32 in. (100 × 81.3 cm), the work is classified as Paintings and was created in 1842."
488045,Waterfront Mill,Niles Spencer,CC0-1.0,Paintings,Modern and Contemporary Art,,"Painting; Unknown; Unknown; Oil on canvas; 30 × 36 in. (76.2 × 91.4 cm); 1940; Modern and Contemporary Art; Waterfront Mill is a Unknown Painting by the Unknown artist Niles Spencer. This piece, part of the Modern and Contemporary Art collection, is crafted using Oil on canvas. Measuring 30 × 36 in. (76.2 × 91.4 cm), the work is classified as Paintings and was created in 1940."
456949,Great Indian Fruit Bat,Bhawani Das,CC0-1.0,Paintings,Islamic Art,,"Painting; Unknown; Unknown; Pencil, ink, and opaque watercolor on paper; Painting: H. 23 1/2 in. (59.7 cm)
