id,title,artist,rights,genre,Department,tags,notes,caption,object_name
436252,"James Stuart (1612–1655), Duke of Richmond and Lennox",Anthony van Dyck,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 85 x 50 1/4 in. (215.9 x 127.6 cm); ca. 1633–35; European Paintings; James Stuart (1612–1655), Duke of Richmond and Lennox is a Unknown Painting by the Unknown artist Anthony van Dyck. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 85 x 50 1/4 in. (215.9 x 127.6 cm), the work is classified as Paintings and was created in ca. 1633–35.",a painting of a boy with a dog,man
436253,Lucas van Uffel (died 1637),Anthony van Dyck,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 49 x 39 5/8 in. (124.5 x 100.6 cm); ca. 1622; European Paintings; Lucas van Uffel (died 1637) is a Unknown Painting by the Unknown artist Anthony van Dyck. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 49 x 39 5/8 in. (124.5 x 100.6 cm), the work is classified as Paintings and was created in ca. 1622.",a painting of a man in a black coat,man
436254,Portrait of a Man,Anthony van Dyck,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 41 3/4 x 28 5/8 in. (106 x 72.7 cm); ca. 1618; European Paintings; Portrait of a Man is a Unknown Painting by the Unknown artist Anthony van Dyck. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 41 3/4 x 28 5/8 in. (106 x 72.7 cm), the work is classified as Paintings and was created in ca. 1618.",a painting of a man with a book,man
436255,"Portrait of a Woman, Called the Marchesa Durazzo",Anthony van Dyck,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 44 5/8 x 37 3/4 in. (113.3 x 95.9 cm); probably ca. 1622–25; European Paintings; Portrait of a Woman, Called the Marchesa Durazzo is a Unknown Painting by the Unknown artist Anthony van Dyck. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 44 5/8 x 37 3/4 in. (113.3 x 95.9 cm), the work is classified as Paintings and was created in probably ca. 1622–25.",a painting of a woman in a black dress,woman
436256,"Robert Rich (1587–1658), Second Earl of Warwick",Anthony van Dyck,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 81 7/8 x 50 3/8 in. (208 x 128 cm), with added strip of 2 1/8 in. (5.4 cm) at top; ca. 1632–35; European Paintings; Robert Rich (1587–1658), Second Earl of Warwick is a Unknown Painting by the Unknown artist Anthony van Dyck. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 81 7/8 x 50 3/8 in. (208 x 128 cm), with added strip of 2 1/8 in. (5.4 cm) at top, the work is classified as Paintings and was created in ca. 1632–35.",a painting of a man in a red coat,man
436257,Saint Rosalie Interceding for the Plague-stricken of Palermo,Anthony van Dyck,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 39 1/4 x 29 in. (99.7 x 73.7 cm); 1624; European Paintings; Saint Rosalie Interceding for the Plague-stricken of Palermo is a Unknown Painting by the Unknown artist Anthony van Dyck. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 39 1/4 x 29 in. (99.7 x 73.7 cm), the work is classified as Paintings and was created in 1624.",a painting of a woman surrounded by angels,woman
436258,Self-Portrait,Anthony van Dyck,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 47 1/8 x 34 5/8 in. (119.7 x 87.9 cm); ca. 1620–21; European Paintings; Self-Portrait is a Unknown Painting by the Unknown artist Anthony van Dyck. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 47 1/8 x 34 5/8 in. (119.7 x 87.9 cm), the work is classified as Paintings and was created in ca. 1620–21.",a painting of a man in a black coat,man
436260,Study Head of an Old Man with a White Beard,Anthony van Dyck,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 26 x 20 1/4 in. (66 x 51.4 cm); ca. 1617–20; European Paintings; Study Head of an Old Man with a White Beard is a Unknown Painting by the Unknown artist Anthony van Dyck. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 26 x 20 1/4 in. (66 x 51.4 cm), the work is classified as Paintings and was created in ca. 1617–20.",a painting of a man with a beard,man
436261,Virgin and Child,Anthony van Dyck,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 25 1/4 x 19 1/2 in. (64.1 x 49.5 cm); ca. 1620; European Paintings; Virgin and Child is a Unknown Painting by the Unknown artist Anthony van Dyck. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 25 1/4 x 19 1/2 in. (64.1 x 49.5 cm), the work is classified as Paintings and was created in ca. 1620.",a painting of a woman holding a baby,woman
436262,Virgin and Child with Saint Catherine of Alexandria,Anthony van Dyck,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 43 x 35 3/4 in. (109.2 x 90.8 cm); with added strips 44 1/8 x 37 in. (112.1 x 94 cm); ca. 1630; European Paintings; Virgin and Child with Saint Catherine of Alexandria is a Unknown Painting by the Unknown artist Anthony van Dyck. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 43 x 35 3/4 in. (109.2 x 90.8 cm); with added strips 44 1/8 x 37 in. (112.1 x 94 cm), the work is classified as Paintings and was created in ca. 1630.",a painting of three women holding a baby,woman
