id,title,artist,rights,genre,Department,tags,notes,caption,object_name
436583,Study of a Woman’s Head,Jean-Baptiste Greuze,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 18 1/2 x 16 in. (47 x 40.6 cm); ca. 1780; European Paintings; Study of a Woman’s Head is a Unknown Painting by the Unknown artist Jean-Baptiste Greuze. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 18 1/2 x 16 in. (47 x 40.6 cm), the work is classified as Paintings and was created in ca. 1780.",a painting of a woman with a head scarf,woman
436584,"Madame Jean-Baptiste Nicolet (Anne Antoinette Desmoulins, 1743–1817)",Jean-Baptiste Greuze,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 25 1/4 x 21 in. (64.1 x 53.3 cm); late 1780s; European Paintings; Madame Jean-Baptiste Nicolet (Anne Antoinette Desmoulins, 1743–1817) is a Unknown Painting by the Unknown artist Jean-Baptiste Greuze. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 25 1/4 x 21 in. (64.1 x 53.3 cm), the work is classified as Paintings and was created in late 1780s.",a painting of a man in a black suit and white shirt,man
436586,Princess Varvara Nikolaevna Gagarina (1762–1802),Jean-Baptiste Greuze,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; Oval, 31 1/2 x 25 in. (80 x 63.5 cm); ca. 1780–82; European Paintings; Princess Varvara Nikolaevna Gagarina (1762–1802) is a Unknown Painting by the Unknown artist Jean-Baptiste Greuze. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring Oval, 31 1/2 x 25 in. (80 x 63.5 cm), the work is classified as Paintings and was created in ca. 1780–82.",a painting of a woman holding a cat,woman
436587,Jean Jacques Caffiéri (1725–1792),Jean-Baptiste Greuze,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; Oval, 25 1/4 x 20 3/4 in. (64.1 x 52.7 cm); ca. 1765; European Paintings; Jean Jacques Caffiéri (1725–1792) is a Unknown Painting by the Unknown artist Jean-Baptiste Greuze. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring Oval, 25 1/4 x 20 3/4 in. (64.1 x 52.7 cm), the work is classified as Paintings and was created in ca. 1765.",a painting of a man in a black coat,man
436588,Head of a Young Boy,Jean-Baptiste Greuze,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 18 7/8 x 15 3/8 in. (47.9 x 39.1 cm); 1763; European Paintings; Head of a Young Boy is a Unknown Painting by the Unknown artist Jean-Baptiste Greuze. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 18 7/8 x 15 3/8 in. (47.9 x 39.1 cm), the work is classified as Paintings and was created in 1763.",a painting of a young boy with a white shirt,man
436590,"The Empress Elizabeth of Russia (1709–1762) on Horseback, Attended by a Page",Georg Christoph Grooth,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 31 3/8 x 24 1/2 in. (79.7 x 62.2 cm); after 1743–49; European Paintings; The Empress Elizabeth of Russia (1709–1762) on Horseback, Attended by a Page is a Unknown Painting by the Unknown artist Georg Christoph Grooth. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 31 3/8 x 24 1/2 in. (79.7 x 62.2 cm), the work is classified as Paintings and was created in after 1743–49.",a painting of a man on a horse,man
436616,Young Man and Woman in an Inn,Frans Hals,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 41 1/2 x 31 1/4 in. (105.4 x 79.4 cm); 1623; European Paintings; Young Man and Woman in an Inn is a Unknown Painting by the Unknown artist Frans Hals. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 41 1/2 x 31 1/4 in. (105.4 x 79.4 cm), the work is classified as Paintings and was created in 1623.",a painting of a boy with a hat and a woman holding a book,man
436623,Portrait of a Man,Frans Hals,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 43 1/2 x 34 in. (110.5 x 86.4 cm); early 1650s; European Paintings; Portrait of a Man is a Unknown Painting by the Unknown artist Frans Hals. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 43 1/2 x 34 in. (110.5 x 86.4 cm), the work is classified as Paintings and was created in early 1650s.",a painting of a man in a black suit,man
436624,Portrait of a Woman,Frans Hals,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 39 3/8 x 32 1/4 in. (100 x 81.9 cm); ca. 1650, reworked probably 18th century; European Paintings; Portrait of a Woman is a Unknown Painting by the Unknown artist Frans Hals. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 39 3/8 x 32 1/4 in. (100 x 81.9 cm), the work is classified as Paintings and was created in ca. 1650, reworked probably 18th century.",a painting of a woman in a black dress,woman
436625,The Smoker,Frans Hals,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; Octagonal, 18 3/8 x 19 1/2 in. (46.7 x 49.5 cm); ca. 1623–25; European Paintings; The Smoker is a Unknown Painting by the Unknown artist Frans Hals. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring Octagonal, 18 3/8 x 19 1/2 in. (46.7 x 49.5 cm), the work is classified as Paintings and was created in ca. 1623–25.",a painting of a boy and girl,man
436626,Boy with a Lute,Frans Hals,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on canvas; 28 3/8 x 23 1/4 in. (72.1 x 59.1 cm); ca. 1625; European Paintings; Boy with a Lute is a Unknown Painting by the Unknown artist Frans Hals. This piece, part of the European Paintings collection, is crafted using Oil on canvas. Measuring 28 3/8 x 23 1/4 in. (72.1 x 59.1 cm), the work is classified as Paintings and was created in ca. 1625.",a painting of a young boy playing a violin,man
436627,Frans Hals (1582/83–1666),Frans Hals,CC0-1.0,Paintings,European Paintings,,"Painting; Unknown; Unknown; Oil on wood; 12 7/8 x 11 in. (32.7 x 27.9 cm); probably 1650s; European Paintings; Frans Hals (1582/83–1666) is a Unknown Painting by the Unknown artist Frans Hals. This piece, part of the European Paintings collection, is crafted using Oil on wood. Measuring 12 7/8 x 11 in. (32.7 x 27.9 cm), the work is classified as Paintings and was created in probably 1650s.",a painting of a man with a hat and a mustache,man
